Promo ID,P/N,Product Code Type,Model,Capacity,Sale Mode,RRP,Discount Value,Net Price,Coupon Code,SF+ Eligible,Trade Up Eligible,Conditions,Source File,Source Sheet,Source Row
RET-อัพเดท-R4-SF_PLUS,-,STANDARD_SM,Galaxy S26 Ultra,1TB,SF_PLUS,66900.0,5000.0,61900.0,01,TRUE,FALSE,ร่วมผ่อนสินเชื่อ Samsung Finance+ (SF+),Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,4
RET-อัพเดท-R4-SPECIAL-STD,-,STANDARD_SM,Galaxy S26 Ultra,1TB,STANDARD_PAYMENT,66900.0,9000.0,57900.0,01,FALSE,FALSE,"ราคานี้ไม่ร่วม SF+ | ไม่ร่วม Trade Up (ส่วนลดเงินสด/ผ่อนบัตร) | ส่วนลดทั้งหมด 9,000 บาท ไม่ร่วมเทรดอัพ",Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,4
RET-อัพเดท-R4-TRADEUP,-,STANDARD_SM,Galaxy S26 Ultra,1TB,TRADE_UP,66900.0,10000.0,56900.0,T-UP-CO-S,FALSE,TRUE,"โปรโมชั่นเก่าแลกใหม่ (Trade Up) | รับส่วนลดเพิ่ม 5,000 บาท ด้วยคูปอง T-UP-CO-S | ต้องมีเครื่องเก่ามาแลก",Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,4
RET-อัพเดท-R5-SF_PLUS,-,STANDARD_SM,Galaxy S26 Ultra,512GB,SF_PLUS,54900.0,5000.0,49900.0,01,TRUE,FALSE,ร่วมผ่อนสินเชื่อ Samsung Finance+ (SF+),Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,5
RET-อัพเดท-R5-SPECIAL-STD,-,STANDARD_SM,Galaxy S26 Ultra,512GB,STANDARD_PAYMENT,54900.0,9000.0,45900.0,01,FALSE,FALSE,ราคานี้ไม่ร่วม SF+ | ไม่ร่วม Trade Up (ส่วนลดเงินสด/ผ่อนบัตร) | โปรนักเรียนไม่ร่วมกับส่วนลดหรือโปรใดๆ,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,5
RET-อัพเดท-R5-TRADEUP,-,STANDARD_SM,Galaxy S26 Ultra,512GB,TRADE_UP,54900.0,10000.0,44900.0,T-UP-CO-S,FALSE,TRUE,"โปรโมชั่นเก่าแลกใหม่ (Trade Up) | รับส่วนลดเพิ่ม 5,000 บาท ด้วยคูปอง T-UP-CO-S | ต้องมีเครื่องเก่ามาแลก",Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,5
RET-อัพเดท-R5-STUDENT,-,STANDARD_SM,Galaxy S26 Ultra,512GB,STUDENT,54900.0,8235,46665,Studentcrd,FALSE,FALSE,โปรโมชั่นนักเรียน/นักศึกษา ลด 15% | แสดงบัตรนักเรียน/นักศึกษาเพื่อรับสิทธิ์ | ห้ามใช้ร่วมกับส่วนลดหรือคูปองอื่น,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,5
RET-อัพเดท-R6-SF_PLUS,-,STANDARD_SM,Galaxy S26 Ultra,256GB,SF_PLUS,46900.0,5000.0,41900.0,01,TRUE,FALSE,ร่วมผ่อนสินเชื่อ Samsung Finance+ (SF+),Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,6
RET-อัพเดท-R6-SPECIAL-STD,-,STANDARD_SM,Galaxy S26 Ultra,256GB,STANDARD_PAYMENT,46900.0,9000.0,37900.0,01,FALSE,FALSE,ราคานี้ไม่ร่วม SF+ | ไม่ร่วม Trade Up (ส่วนลดเงินสด/ผ่อนบัตร) | โปรนักเรียนไม่ร่วมกับส่วนลดหรือโปรใดๆ,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,6
RET-อัพเดท-R6-TRADEUP,-,STANDARD_SM,Galaxy S26 Ultra,256GB,TRADE_UP,46900.0,7000.0,39900.0,T-UP-CO-S,FALSE,TRUE,"โปรโมชั่นเก่าแลกใหม่ (Trade Up) | รับส่วนลดเพิ่ม 2,000 บาท ด้วยคูปอง T-UP-CO-S | ต้องมีเครื่องเก่ามาแลก",Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,6
RET-อัพเดท-R6-STUDENT,-,STANDARD_SM,Galaxy S26 Ultra,256GB,STUDENT,46900.0,7035,39865,Studentcrd,FALSE,FALSE,โปรโมชั่นนักเรียน/นักศึกษา ลด 15% | แสดงบัตรนักเรียน/นักศึกษาเพื่อรับสิทธิ์ | ห้ามใช้ร่วมกับส่วนลดหรือคูปองอื่น,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,6
RET-อัพเดท-R7-SF_PLUS,-,STANDARD_SM,Galaxy S26+,512GB,SF_PLUS,48900.0,12000.0,36900.0,01,TRUE,FALSE,ร่วมผ่อนสินเชื่อ Samsung Finance+ (SF+),Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,7
RET-อัพเดท-R8-SF_PLUS,-,STANDARD_SM,Galaxy S26+,256GB,SF_PLUS,40900.0,10000.0,30900.0,01,TRUE,FALSE,ร่วมผ่อนสินเชื่อ Samsung Finance+ (SF+),Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,8
RET-อัพเดท-R9-SF_PLUS,-,STANDARD_SM,Galaxy S26,512GB,SF_PLUS,41900.0,12000.0,29900.0,01,TRUE,FALSE,ร่วมผ่อนสินเชื่อ Samsung Finance+ (SF+),Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,9
RET-อัพเดท-R10-SF_PLUS,-,STANDARD_SM,Galaxy S26,256GB,SF_PLUS,33900.0,6000.0,27900.0,01,TRUE,FALSE,ร่วมผ่อนสินเชื่อ Samsung Finance+ (SF+),Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,10
RET-อัพเดท-R11-SF_PLUS,-,PASS_F,Galaxy S25 Ultra,256GB,SF_PLUS,42900.0,12000.0,30900.0,01,TRUE,FALSE,ร่วมผ่อนสินเชื่อ Samsung Finance+ (SF+),Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,11
RET-อัพเดท-R12-SF_PLUS,-,STANDARD_SM,Galaxy S26 FE  NEW,256GB,SF_PLUS,28900.0,4000.0,24900.0,01,TRUE,FALSE,ร่วมผ่อนสินเชื่อ Samsung Finance+ (SF+),Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,12
RET-อัพเดท-R14-SF_PLUS,-,STANDARD_SM,"Galaxy S25 FE
(ร่วม SF+)",256GB,SF_PLUS,26900.0,3000.0,23900.0,01,TRUE,FALSE,ร่วมผ่อนสินเชื่อ Samsung Finance+ (SF+) | SF+ ดาวน์ไม่เกิน 10%,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,14
RET-อัพเดท-R14-STUDENT,-,STANDARD_SM,"Galaxy S25 FE
(ร่วม SF+)",256GB,STUDENT,26900.0,4035,22865,Studentcrd,FALSE,FALSE,โปรโมชั่นนักเรียน/นักศึกษา ลด 15% | แสดงบัตรนักเรียน/นักศึกษาเพื่อรับสิทธิ์ | ห้ามใช้ร่วมกับส่วนลดหรือคูปองอื่น,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,14
RET-อัพเดท-R15-SF_PLUS,-,STANDARD_SM,"Galaxy S25 FE
(ร่วม SF+)",128GB,SF_PLUS,22900.0,3000.0,19900.0,01,TRUE,FALSE,ร่วมผ่อนสินเชื่อ Samsung Finance+ (SF+),Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,15
RET-อัพเดท-R15-STUDENT,-,STANDARD_SM,"Galaxy S25 FE
(ร่วม SF+)",128GB,STUDENT,22900.0,3435,19465,Studentcrd,FALSE,FALSE,โปรโมชั่นนักเรียน/นักศึกษา ลด 15% | แสดงบัตรนักเรียน/นักศึกษาเพื่อรับสิทธิ์ | ห้ามใช้ร่วมกับส่วนลดหรือคูปองอื่น,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,15
RET-อัพเดท-R16-STANDARD_PAYMENT,-,STANDARD_SM,"Galaxy S25 FE
(ไม่ร่วม SF+)",256GB,STANDARD_PAYMENT,26900.0,6000.0,20900.0,02,FALSE,FALSE,ราคานี้ไม่ร่วม SF+ | ชำระด้วยเงินสด / รูดเต็ม / ผ่อนบัตรเครดิต / ผ่อนบัตรกดเงินสด,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,16
RET-อัพเดท-R17-STANDARD_PAYMENT,-,STANDARD_SM,"Galaxy S25 FE
(ไม่ร่วม SF+)",128GB,STANDARD_PAYMENT,22900.0,5000.0,17900.0,02,FALSE,FALSE,ราคานี้ไม่ร่วม SF+ | ชำระด้วยเงินสด / รูดเต็ม / ผ่อนบัตรเครดิต / ผ่อนบัตรกดเงินสด,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,17
RET-อัพเดท-R18-TRADEUP,-,STANDARD_SM,Galaxy Z Fold8 Ultra,1TB,TRADE_UP,93900.0,7000.0,86900.0,T-UP-CO-S,FALSE,TRUE,"โปรโมชั่นเก่าแลกใหม่ (Trade Up) | รับส่วนลดเพิ่ม 7,000 บาท ด้วยคูปอง T-UP-CO-S | ต้องมีเครื่องเก่ามาแลก",Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,18
