promoId,model,pn,productCodeType,saleMode,netPrice,couponCode,status,errors,warnings,sourceFile,sourceSheet,sourceRow
RET-อัพเดท-R4-SF_PLUS,Galaxy S26 Ultra,,STANDARD_SM,SF_PLUS,61900.0,01,PASSED_VALIDATION,,,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,4
RET-อัพเดท-R4-TRADEUP,Galaxy S26 Ultra,,STANDARD_SM,TRADE_UP,56900.0,01,PASSED_WITH_WARNING,,TRADE_UP_CODE_UNVERIFIED: ,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,4
RET-อัพเดท-R4-FLASHSALE,Galaxy S26 Ultra,,STANDARD_SM,STANDARD_PAYMENT,57900.0,01,PASSED_VALIDATION,,,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,4
RET-อัพเดท-R5-SF_PLUS,Galaxy S26 Ultra,,STANDARD_SM,SF_PLUS,49900.0,01,PASSED_VALIDATION,,,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,5
RET-อัพเดท-R5-TRADEUP,Galaxy S26 Ultra,,STANDARD_SM,TRADE_UP,44900.0,01,PASSED_WITH_WARNING,,TRADE_UP_CODE_UNVERIFIED: ,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,5
RET-อัพเดท-R5-STUDENT,Galaxy S26 Ultra,,STANDARD_SM,STUDENT,46665.0,Studentcrd,PASSED_VALIDATION,,,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,5
RET-อัพเดท-R5-FLASHSALE,Galaxy S26 Ultra,,STANDARD_SM,STANDARD_PAYMENT,45900.0,01,PASSED_VALIDATION,,,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,5
RET-อัพเดท-R6-SF_PLUS,Galaxy S26 Ultra,,STANDARD_SM,SF_PLUS,41900.0,01,PASSED_VALIDATION,,,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,6
RET-อัพเดท-R6-TRADEUP,Galaxy S26 Ultra,,STANDARD_SM,TRADE_UP,39900.0,01,PASSED_WITH_WARNING,,TRADE_UP_CODE_UNVERIFIED: ,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,6
RET-อัพเดท-R6-STUDENT,Galaxy S26 Ultra,,STANDARD_SM,STUDENT,39865.0,Studentcrd,PASSED_VALIDATION,,,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,6
