promoId,model,pn,productCodeType,saleMode,validationStatus,validationErrors,sourceFile,sourceSheet,sourceRow
ACC-ERR-R70,,,STANDARD_ACCESSORY,STANDARD_PAYMENT,BLOCKED_INVALID,FORMULA_ERROR_DETECTED,Pro Tablet Acc samsung 3Aug2026.xlsx,โปร และ เงื่อนไขการตัดขาย,70
ACC-ERR-R71,,,STANDARD_ACCESSORY,STANDARD_PAYMENT,BLOCKED_INVALID,FORMULA_ERROR_DETECTED,Pro Tablet Acc samsung 3Aug2026.xlsx,โปร และ เงื่อนไขการตัดขาย,71
ACC-ERR-R72,,,STANDARD_ACCESSORY,STANDARD_PAYMENT,BLOCKED_INVALID,FORMULA_ERROR_DETECTED,Pro Tablet Acc samsung 3Aug2026.xlsx,โปร และ เงื่อนไขการตัดขาย,72
ACC-ERR-R73,,,STANDARD_ACCESSORY,STANDARD_PAYMENT,BLOCKED_INVALID,FORMULA_ERROR_DETECTED,Pro Tablet Acc samsung 3Aug2026.xlsx,โปร และ เงื่อนไขการตัดขาย,73
ACC-ERR-R74,,,STANDARD_ACCESSORY,STANDARD_PAYMENT,BLOCKED_INVALID,FORMULA_ERROR_DETECTED,Pro Tablet Acc samsung 3Aug2026.xlsx,โปร และ เงื่อนไขการตัดขาย,74
ACC-ERR-R75,,,STANDARD_ACCESSORY,STANDARD_PAYMENT,BLOCKED_INVALID,FORMULA_ERROR_DETECTED,Pro Tablet Acc samsung 3Aug2026.xlsx,โปร และ เงื่อนไขการตัดขาย,75
ACC-ERR-R76,,,STANDARD_ACCESSORY,STANDARD_PAYMENT,BLOCKED_INVALID,FORMULA_ERROR_DETECTED,Pro Tablet Acc samsung 3Aug2026.xlsx,โปร และ เงื่อนไขการตัดขาย,76
ACC-ERR-R77,,,STANDARD_ACCESSORY,STANDARD_PAYMENT,BLOCKED_INVALID,FORMULA_ERROR_DETECTED,Pro Tablet Acc samsung 3Aug2026.xlsx,โปร และ เงื่อนไขการตัดขาย,77
ACC-ERR-R78,,,STANDARD_ACCESSORY,STANDARD_PAYMENT,BLOCKED_INVALID,FORMULA_ERROR_DETECTED,Pro Tablet Acc samsung 3Aug2026.xlsx,โปร และ เงื่อนไขการตัดขาย,78
ACC-ERR-R79,,,STANDARD_ACCESSORY,STANDARD_PAYMENT,BLOCKED_INVALID,FORMULA_ERROR_DETECTED,Pro Tablet Acc samsung 3Aug2026.xlsx,โปร และ เงื่อนไขการตัดขาย,79
ACC-ERR-R80,,,STANDARD_ACCESSORY,STANDARD_PAYMENT,BLOCKED_INVALID,FORMULA_ERROR_DETECTED,Pro Tablet Acc samsung 3Aug2026.xlsx,โปร และ เงื่อนไขการตัดขาย,80
ACC-ERR-R81,,,STANDARD_ACCESSORY,STANDARD_PAYMENT,BLOCKED_INVALID,FORMULA_ERROR_DETECTED,Pro Tablet Acc samsung 3Aug2026.xlsx,โปร และ เงื่อนไขการตัดขาย,81
ACC-ERR-R82,,,STANDARD_ACCESSORY,STANDARD_PAYMENT,BLOCKED_INVALID,FORMULA_ERROR_DETECTED,Pro Tablet Acc samsung 3Aug2026.xlsx,โปร และ เงื่อนไขการตัดขาย,82
ACC-ERR-R83,,,STANDARD_ACCESSORY,STANDARD_PAYMENT,BLOCKED_INVALID,FORMULA_ERROR_DETECTED,Pro Tablet Acc samsung 3Aug2026.xlsx,โปร และ เงื่อนไขการตัดขาย,83
ACC-ERR-R84,,,STANDARD_ACCESSORY,STANDARD_PAYMENT,BLOCKED_INVALID,FORMULA_ERROR_DETECTED,Pro Tablet Acc samsung 3Aug2026.xlsx,โปร และ เงื่อนไขการตัดขาย,84
ACC-ERR-R85,,,STANDARD_ACCESSORY,STANDARD_PAYMENT,BLOCKED_INVALID,FORMULA_ERROR_DETECTED,Pro Tablet Acc samsung 3Aug2026.xlsx,โปร และ เงื่อนไขการตัดขาย,85
ACC-ERR-R86,,,STANDARD_ACCESSORY,STANDARD_PAYMENT,BLOCKED_INVALID,FORMULA_ERROR_DETECTED,Pro Tablet Acc samsung 3Aug2026.xlsx,โปร และ เงื่อนไขการตัดขาย,86
ACC-ERR-R87,,,STANDARD_ACCESSORY,STANDARD_PAYMENT,BLOCKED_INVALID,FORMULA_ERROR_DETECTED,Pro Tablet Acc samsung 3Aug2026.xlsx,โปร และ เงื่อนไขการตัดขาย,87
ACC-ERR-R88,,,STANDARD_ACCESSORY,STANDARD_PAYMENT,BLOCKED_INVALID,FORMULA_ERROR_DETECTED,Pro Tablet Acc samsung 3Aug2026.xlsx,โปร และ เงื่อนไขการตัดขาย,88
ACC-ERR-R89,,,STANDARD_ACCESSORY,STANDARD_PAYMENT,BLOCKED_INVALID,FORMULA_ERROR_DETECTED,Pro Tablet Acc samsung 3Aug2026.xlsx,โปร และ เงื่อนไขการตัดขาย,89
ACC-ERR-R90,,,STANDARD_ACCESSORY,STANDARD_PAYMENT,BLOCKED_INVALID,FORMULA_ERROR_DETECTED,Pro Tablet Acc samsung 3Aug2026.xlsx,โปร และ เงื่อนไขการตัดขาย,90
ACC-ERR-R91,,,STANDARD_ACCESSORY,STANDARD_PAYMENT,BLOCKED_INVALID,FORMULA_ERROR_DETECTED,Pro Tablet Acc samsung 3Aug2026.xlsx,โปร และ เงื่อนไขการตัดขาย,91
ACC-ERR-R92,,,STANDARD_ACCESSORY,STANDARD_PAYMENT,BLOCKED_INVALID,FORMULA_ERROR_DETECTED,Pro Tablet Acc samsung 3Aug2026.xlsx,โปร และ เงื่อนไขการตัดขาย,92
ACC-ERR-R93,,,STANDARD_ACCESSORY,STANDARD_PAYMENT,BLOCKED_INVALID,FORMULA_ERROR_DETECTED,Pro Tablet Acc samsung 3Aug2026.xlsx,โปร และ เงื่อนไขการตัดขาย,93
