variantId,model,ram,storage,connectivity,productCodeType,saleMode,rrp,standardDiscount,sfPlusDiscount,studentDiscount,tradeUpDiscount,netPrice,priceCoupon,studentCoupon,tradeUpCode,sfPlusEligible,tradeUpEligible,studentEligible,startDate,endDate,sourceBadge,sourceFileDisplayName,sourceSheet,sourceRow,headerPath,validationStatus
RET-อัพเดท-R4-SF_PLUS,Galaxy S26 Ultra,N/A,1TB,Standard,STANDARD_SM,SF_PLUS,66900.0,0,5000.0,0,0,61900.0,01,,,YES,NO,NO,2026-08-28,2026-09-06,EXCEL_CONFIRMED,Promotion Retail Aug 2026.xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,4,rrp:STANDARD_PAYMENT > ราคาปกติ (RRP) > discount:STANDARD_PAYMENT > ส่วนลด (Standard Discount) > netPrice:FINAL_NET > ราคาหลังลดและเทรดอัพ (Net Price),WARNING
RET-อัพเดท-R4-TRADEUP,Galaxy S26 Ultra,N/A,1TB,Standard,STANDARD_SM,TRADE_UP,66900.0,5000.0,0,0,5000.0,56900.0,01,,T-UP-CO-S,YES,YES,NO,2026-08-28,2026-09-06,EXCEL_CONFIRMED,Promotion Retail Aug 2026.xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,4,rrp:STANDARD_PAYMENT > ราคาปกติ (RRP) > tradeUpDiscount:TRADE_UP > ส่วนลดเทรดอัพ (Trade Up Discount) > tradeUpCode:TRADE_UP > รหัสการชำระ (Payment Code: T-UP-CO-S) > netPrice:FINAL_NET > ราคาหลังลดและเทรดอัพ (Net Price),WARNING
RET-อัพเดท-R5-SF_PLUS,Galaxy S26 Ultra,N/A,512GB,Standard,STANDARD_SM,SF_PLUS,54900.0,0,5000.0,0,0,49900.0,01,,,YES,NO,NO,2026-08-28,2026-09-06,EXCEL_CONFIRMED,Promotion Retail Aug 2026.xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,5,rrp:STANDARD_PAYMENT > ราคาปกติ (RRP) > discount:STANDARD_PAYMENT > ส่วนลด (Standard Discount) > netPrice:FINAL_NET > ราคาหลังลดและเทรดอัพ (Net Price),WARNING
RET-อัพเดท-R5-TRADEUP,Galaxy S26 Ultra,N/A,512GB,Standard,STANDARD_SM,TRADE_UP,54900.0,5000.0,0,0,5000.0,44900.0,01,,T-UP-CO-S,YES,YES,NO,2026-08-28,2026-09-06,EXCEL_CONFIRMED,Promotion Retail Aug 2026.xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,5,rrp:STANDARD_PAYMENT > ราคาปกติ (RRP) > tradeUpDiscount:TRADE_UP > ส่วนลดเทรดอัพ (Trade Up Discount) > tradeUpCode:TRADE_UP > รหัสการชำระ (Payment Code: T-UP-CO-S) > netPrice:FINAL_NET > ราคาหลังลดและเทรดอัพ (Net Price),WARNING
RET-อัพเดท-R5-STUDENT,Galaxy S26 Ultra,N/A,512GB,Standard,STANDARD_SM,STUDENT,54900.0,0,0,8235,0,46665.0,Studentcrd,Studentcrd,,NO,NO,YES,2026-08-28,2026-09-06,EXCEL_CONFIRMED,Promotion Retail Aug 2026.xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,5,rrp:STANDARD_PAYMENT > ราคาปกติ (RRP) > studentRate:STUDENT > อัตราส่วนลด (Student Discount Rate),WARNING
RET-อัพเดท-R6-SF_PLUS,Galaxy S26 Ultra,N/A,256GB,Standard,STANDARD_SM,SF_PLUS,46900.0,0,5000.0,0,0,41900.0,01,,,YES,NO,NO,2026-08-28,2026-09-06,EXCEL_CONFIRMED,Promotion Retail Aug 2026.xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,6,rrp:STANDARD_PAYMENT > ราคาปกติ (RRP) > discount:STANDARD_PAYMENT > ส่วนลด (Standard Discount) > netPrice:FINAL_NET > ราคาหลังลดและเทรดอัพ (Net Price),WARNING
RET-อัพเดท-R6-TRADEUP,Galaxy S26 Ultra,N/A,256GB,Standard,STANDARD_SM,TRADE_UP,46900.0,5000.0,0,0,2000.0,39900.0,01,,T-UP-CO-S,YES,YES,NO,2026-08-28,2026-09-06,EXCEL_CONFIRMED,Promotion Retail Aug 2026.xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,6,rrp:STANDARD_PAYMENT > ราคาปกติ (RRP) > tradeUpDiscount:TRADE_UP > ส่วนลดเทรดอัพ (Trade Up Discount) > tradeUpCode:TRADE_UP > รหัสการชำระ (Payment Code: T-UP-CO-S) > netPrice:FINAL_NET > ราคาหลังลดและเทรดอัพ (Net Price),WARNING
RET-อัพเดท-R6-STUDENT,Galaxy S26 Ultra,N/A,256GB,Standard,STANDARD_SM,STUDENT,46900.0,0,0,7035,0,39865.0,Studentcrd,Studentcrd,,NO,NO,YES,2026-08-28,2026-09-06,EXCEL_CONFIRMED,Promotion Retail Aug 2026.xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,6,rrp:STANDARD_PAYMENT > ราคาปกติ (RRP) > studentRate:STUDENT > อัตราส่วนลด (Student Discount Rate),WARNING
RET-อัพเดท-R7-SF_PLUS,Galaxy S26+,N/A,512GB,Standard,STANDARD_SM,SF_PLUS,48900.0,0,12000.0,0,0,36900.0,01,,,YES,NO,NO,2026-08-28,2026-09-06,EXCEL_CONFIRMED,Promotion Retail Aug 2026.xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,7,rrp:STANDARD_PAYMENT > ราคาปกติ (RRP) > discount:STANDARD_PAYMENT > ส่วนลด (Standard Discount) > netPrice:FINAL_NET > ราคาหลังลดและเทรดอัพ (Net Price),WARNING
RET-อัพเดท-R8-SF_PLUS,Galaxy S26+,N/A,256GB,Standard,STANDARD_SM,SF_PLUS,40900.0,0,10000.0,0,0,30900.0,01,,,YES,NO,NO,2026-08-28,2026-09-06,EXCEL_CONFIRMED,Promotion Retail Aug 2026.xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,8,rrp:STANDARD_PAYMENT > ราคาปกติ (RRP) > discount:STANDARD_PAYMENT > ส่วนลด (Standard Discount) > netPrice:FINAL_NET > ราคาหลังลดและเทรดอัพ (Net Price),WARNING
