variantId,model,P/N Masked,productCodeType,saleMode,errorCode,errorExplanation,sourceFileDisplayName,sourceSheet,sourceRow,rawTextExcerpt,requiredAction
RET-อัพเดท-R24-TRADEUP,Galaxy Z Flip8,N/A,STANDARD_SM,TRADE_UP,PRICE_EQUATION_MISMATCH,Quarantined by Rule Engine: PRICE_EQUATION_MISMATCH. Strictly prohibited from retail sale.,Promotion Retail Aug 2026.xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,24,,Verify formula in source Excel workbook or wait for branch supervisor confirmation
RET-อัพเดท-R25-TRADEUP,Galaxy Z Flip8,N/A,STANDARD_SM,TRADE_UP,PRICE_EQUATION_MISMATCH,Quarantined by Rule Engine: PRICE_EQUATION_MISMATCH. Strictly prohibited from retail sale.,Promotion Retail Aug 2026.xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,25,,Verify formula in source Excel workbook or wait for branch supervisor confirmation
TAB-R4-ADDON-KEYBOARD,Galaxy Tab S11  Ultra 5G,N/A,STANDARD_SM,ADD_ON_PURCHASE,PRICE_EQUATION_MISMATCH,Quarantined by Rule Engine: PRICE_EQUATION_MISMATCH. Strictly prohibited from retail sale.,Promotion Tablet Sep 2026.xlsx,โปร และ เงื่อนไขการตัดขาย,4,,Verify formula in source Excel workbook or wait for branch supervisor confirmation
TAB-R5-ADDON-KEYBOARD,Galaxy Tab S11 (5G),N/A,STANDARD_SM,ADD_ON_PURCHASE,PRICE_EQUATION_MISMATCH,Quarantined by Rule Engine: PRICE_EQUATION_MISMATCH. Strictly prohibited from retail sale.,Promotion Tablet Sep 2026.xlsx,โปร และ เงื่อนไขการตัดขาย,5,,Verify formula in source Excel workbook or wait for branch supervisor confirmation
TAB-R6-ADDON-KEYBOARD,Galaxy Tab S11  (WiFi),N/A,STANDARD_SM,ADD_ON_PURCHASE,PRICE_EQUATION_MISMATCH,Quarantined by Rule Engine: PRICE_EQUATION_MISMATCH. Strictly prohibited from retail sale.,Promotion Tablet Sep 2026.xlsx,โปร และ เงื่อนไขการตัดขาย,6,,Verify formula in source Excel workbook or wait for branch supervisor confirmation
TAB-R9-ADDON-KEYBOARD,Galaxy Tab S10 FE+ 5G,N/A,STANDARD_SM,ADD_ON_PURCHASE,PRICE_EQUATION_MISMATCH,Quarantined by Rule Engine: PRICE_EQUATION_MISMATCH. Strictly prohibited from retail sale.,Promotion Tablet Sep 2026.xlsx,โปร และ เงื่อนไขการตัดขาย,9,,Verify formula in source Excel workbook or wait for branch supervisor confirmation
TAB-R10-ADDON-KEYBOARD,Galaxy Tab S10 FE+ WiFi,N/A,STANDARD_SM,ADD_ON_PURCHASE,PRICE_EQUATION_MISMATCH,Quarantined by Rule Engine: PRICE_EQUATION_MISMATCH. Strictly prohibited from retail sale.,Promotion Tablet Sep 2026.xlsx,โปร และ เงื่อนไขการตัดขาย,10,,Verify formula in source Excel workbook or wait for branch supervisor confirmation
TAB-R11-ADDON-KEYBOARD,Galaxy Tab S10 FE 5G,N/A,STANDARD_SM,ADD_ON_PURCHASE,PRICE_EQUATION_MISMATCH,Quarantined by Rule Engine: PRICE_EQUATION_MISMATCH. Strictly prohibited from retail sale.,Promotion Tablet Sep 2026.xlsx,โปร และ เงื่อนไขการตัดขาย,11,,Verify formula in source Excel workbook or wait for branch supervisor confirmation
TAB-R12-ADDON-KEYBOARD,Galaxy Tab S10 FE WiFi,N/A,STANDARD_SM,ADD_ON_PURCHASE,PRICE_EQUATION_MISMATCH,Quarantined by Rule Engine: PRICE_EQUATION_MISMATCH. Strictly prohibited from retail sale.,Promotion Tablet Sep 2026.xlsx,โปร และ เงื่อนไขการตัดขาย,12,,Verify formula in source Excel workbook or wait for branch supervisor confirmation
TAB-R20-ADDON-KEYBOARD,"Galaxy Tab A11+  5G  (NEW)
(ไม่สามารถใช้ร่วมกับ SF+ ได้)",N/A,STANDARD_SM,ADD_ON_PURCHASE,PRICE_EQUATION_MISMATCH,Quarantined by Rule Engine: PRICE_EQUATION_MISMATCH. Strictly prohibited from retail sale.,Promotion Tablet Sep 2026.xlsx,โปร และ เงื่อนไขการตัดขาย,20,,Verify formula in source Excel workbook or wait for branch supervisor confirmation
