variantId,model,ram,storage,saleMode,rrp,netPrice,startDate,endDate,sourceFileDisplayName,sourceSheet,archiveReason
RET-อัพเดท-R4-FLASHSALE,Galaxy S26 Ultra,N/A,1TB,STANDARD_PAYMENT,66900.0,57900.0,2026-08-27,2026-08-30,Promotion Retail Aug 2026.xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,Expired campaign (อัพเดท 28 Aug - 6 Sep ล่าสุด)
RET-อัพเดท-R5-FLASHSALE,Galaxy S26 Ultra,N/A,512GB,STANDARD_PAYMENT,54900.0,45900.0,2026-08-27,2026-08-30,Promotion Retail Aug 2026.xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,Expired campaign (อัพเดท 28 Aug - 6 Sep ล่าสุด)
RET-อัพเดท-R6-FLASHSALE,Galaxy S26 Ultra,N/A,256GB,STANDARD_PAYMENT,46900.0,37900.0,2026-08-27,2026-08-30,Promotion Retail Aug 2026.xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,Expired campaign (อัพเดท 28 Aug - 6 Sep ล่าสุด)
RET-อัพเดท-R39-FLASHSALE,"Galaxy A17 5G
(ตั้งแต่ 17 สิงหาคม - 6 กันยายน 69)",N/A,8/256GB,STANDARD_PAYMENT,10599.0,8999.0,2026-08-27,2026-08-30,Promotion Retail Aug 2026.xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,Expired campaign (อัพเดท 28 Aug - 6 Sep ล่าสุด)
RET-19 -27-R4-SF_PLUS,Galaxy S26 Ultra,N/A,1TB,SF_PLUS,66900.0,61900.0,2026-08-19,2026-08-27,Promotion Retail Aug 2026.xlsx,19 -27  Aug,Expired campaign (19 -27  Aug)
RET-19 -27-R4-TRADEUP,Galaxy S26 Ultra,N/A,1TB,TRADE_UP,66900.0,56900.0,2026-08-19,2026-08-27,Promotion Retail Aug 2026.xlsx,19 -27  Aug,Expired campaign (19 -27  Aug)
RET-19 -27-R4-FLASHSALE,Galaxy S26 Ultra,N/A,1TB,STANDARD_PAYMENT,66900.0,57900.0,2026-08-27,2026-08-30,Promotion Retail Aug 2026.xlsx,19 -27  Aug,Expired campaign (19 -27  Aug)
RET-19 -27-R5-SF_PLUS,Galaxy S26 Ultra,N/A,512GB,SF_PLUS,54900.0,49900.0,2026-08-19,2026-08-27,Promotion Retail Aug 2026.xlsx,19 -27  Aug,Expired campaign (19 -27  Aug)
RET-19 -27-R5-TRADEUP,Galaxy S26 Ultra,N/A,512GB,TRADE_UP,54900.0,44900.0,2026-08-19,2026-08-27,Promotion Retail Aug 2026.xlsx,19 -27  Aug,Expired campaign (19 -27  Aug)
RET-19 -27-R5-STUDENT,Galaxy S26 Ultra,N/A,512GB,STUDENT,54900.0,46665.0,2026-08-19,2026-08-27,Promotion Retail Aug 2026.xlsx,19 -27  Aug,Expired campaign (19 -27  Aug)
RET-19 -27-R5-FLASHSALE,Galaxy S26 Ultra,N/A,512GB,STANDARD_PAYMENT,54900.0,45900.0,2026-08-27,2026-08-30,Promotion Retail Aug 2026.xlsx,19 -27  Aug,Expired campaign (19 -27  Aug)
RET-19 -27-R6-SF_PLUS,Galaxy S26 Ultra,N/A,256GB,SF_PLUS,46900.0,41900.0,2026-08-19,2026-08-27,Promotion Retail Aug 2026.xlsx,19 -27  Aug,Expired campaign (19 -27  Aug)
RET-19 -27-R6-TRADEUP,Galaxy S26 Ultra,N/A,256GB,TRADE_UP,46900.0,39900.0,2026-08-19,2026-08-27,Promotion Retail Aug 2026.xlsx,19 -27  Aug,Expired campaign (19 -27  Aug)
RET-19 -27-R6-STUDENT,Galaxy S26 Ultra,N/A,256GB,STUDENT,46900.0,39865.0,2026-08-19,2026-08-27,Promotion Retail Aug 2026.xlsx,19 -27  Aug,Expired campaign (19 -27  Aug)
RET-19 -27-R6-FLASHSALE,Galaxy S26 Ultra,N/A,256GB,STANDARD_PAYMENT,46900.0,37900.0,2026-08-27,2026-08-30,Promotion Retail Aug 2026.xlsx,19 -27  Aug,Expired campaign (19 -27  Aug)
RET-19 -27-R7-SF_PLUS,Galaxy S26+,N/A,512GB,SF_PLUS,48900.0,36900.0,2026-08-19,2026-08-27,Promotion Retail Aug 2026.xlsx,19 -27  Aug,Expired campaign (19 -27  Aug)
RET-19 -27-R8-SF_PLUS,Galaxy S26+,N/A,256GB,SF_PLUS,40900.0,30900.0,2026-08-19,2026-08-27,Promotion Retail Aug 2026.xlsx,19 -27  Aug,Expired campaign (19 -27  Aug)
RET-19 -27-R9-SF_PLUS,Galaxy S26,N/A,512GB,SF_PLUS,41900.0,29900.0,2026-08-19,2026-08-27,Promotion Retail Aug 2026.xlsx,19 -27  Aug,Expired campaign (19 -27  Aug)
RET-19 -27-R10-SF_PLUS,Galaxy S26,N/A,256GB,SF_PLUS,33900.0,27900.0,2026-08-19,2026-08-27,Promotion Retail Aug 2026.xlsx,19 -27  Aug,Expired campaign (19 -27  Aug)
RET-19 -27-R11-SF_PLUS,Galaxy S25 Ultra,N/A,256GB,SF_PLUS,42900.0,30900.0,2026-08-19,2026-08-27,Promotion Retail Aug 2026.xlsx,19 -27  Aug,Expired campaign (19 -27  Aug)
RET-19 -27-R12-SF_PLUS,"Galaxy S25 FE
(ร่วม SF+)",N/A,256GB,SF_PLUS,26900.0,23900.0,2026-08-19,2026-08-27,Promotion Retail Aug 2026.xlsx,19 -27  Aug,Expired campaign (19 -27  Aug)
RET-19 -27-R12-STUDENT,"Galaxy S25 FE
(ร่วม SF+)",N/A,256GB,STUDENT,26900.0,22865.0,2026-08-19,2026-08-27,Promotion Retail Aug 2026.xlsx,19 -27  Aug,Expired campaign (19 -27  Aug)
RET-19 -27-R13-SF_PLUS,"Galaxy S25 FE
(ร่วม SF+)",N/A,128GB,SF_PLUS,22900.0,19900.0,2026-08-19,2026-08-27,Promotion Retail Aug 2026.xlsx,19 -27  Aug,Expired campaign (19 -27  Aug)
RET-19 -27-R13-STUDENT,"Galaxy S25 FE
(ร่วม SF+)",N/A,128GB,STUDENT,22900.0,19465.0,2026-08-19,2026-08-27,Promotion Retail Aug 2026.xlsx,19 -27  Aug,Expired campaign (19 -27  Aug)
RET-19 -27-R14-STANDARD_PAYMENT,"Galaxy S25 FE
(ไม่ร่วม SF+)",N/A,256GB,STANDARD_PAYMENT,26900.0,20900.0,2026-08-19,2026-08-27,Promotion Retail Aug 2026.xlsx,19 -27  Aug,Expired campaign (19 -27  Aug)
RET-19 -27-R15-STANDARD_PAYMENT,"Galaxy S25 FE
(ไม่ร่วม SF+)",N/A,128GB,STANDARD_PAYMENT,22900.0,17900.0,2026-08-19,2026-08-27,Promotion Retail Aug 2026.xlsx,19 -27  Aug,Expired campaign (19 -27  Aug)
RET-19 -27-R16-TRADEUP,Galaxy Z Fold8 Ultra,N/A,1TB,TRADE_UP,93900.0,86900.0,2026-08-19,2026-08-27,Promotion Retail Aug 2026.xlsx,19 -27  Aug,Expired campaign (19 -27  Aug)
RET-19 -27-R17-TRADEUP,Galaxy Z Fold8 Ultra,N/A,512GB,TRADE_UP,77900.0,72900.0,2026-08-19,2026-08-27,Promotion Retail Aug 2026.xlsx,19 -27  Aug,Expired campaign (19 -27  Aug)
RET-19 -27-R18-TRADEUP,Galaxy Z Fold8 Ultra,N/A,256GB,TRADE_UP,69900.0,64900.0,2026-08-19,2026-08-27,Promotion Retail Aug 2026.xlsx,19 -27  Aug,Expired campaign (19 -27  Aug)
RET-19 -27-R19-TRADEUP,Galaxy Z Fold8,N/A,1TB,TRADE_UP,85900.0,78900.0,2026-08-19,2026-08-27,Promotion Retail Aug 2026.xlsx,19 -27  Aug,Expired campaign (19 -27  Aug)
RET-19 -27-R20-TRADEUP,Galaxy Z Fold8,N/A,512GB,TRADE_UP,69900.0,64900.0,2026-08-19,2026-08-27,Promotion Retail Aug 2026.xlsx,19 -27  Aug,Expired campaign (19 -27  Aug)
RET-19 -27-R21-TRADEUP,Galaxy Z Fold8,N/A,256GB,TRADE_UP,61900.0,56900.0,2026-08-19,2026-08-27,Promotion Retail Aug 2026.xlsx,19 -27  Aug,Expired campaign (19 -27  Aug)
RET-19 -27-R24-SF_PLUS,Galaxy Z Fold 7,N/A,1TB,SF_PLUS,87900.0,69900.0,2026-08-19,2026-08-27,Promotion Retail Aug 2026.xlsx,19 -27  Aug,Expired campaign (19 -27  Aug)
RET-19 -27-R25-SF_PLUS,Galaxy Z Fold 7,N/A,512GB,SF_PLUS,75900.0,57900.0,2026-08-19,2026-08-27,Promotion Retail Aug 2026.xlsx,19 -27  Aug,Expired campaign (19 -27  Aug)
RET-19 -27-R26-SF_PLUS,Galaxy Z Fold 7,N/A,256GB,SF_PLUS,67900.0,49900.0,2026-08-19,2026-08-27,Promotion Retail Aug 2026.xlsx,19 -27  Aug,Expired campaign (19 -27  Aug)
RET-19 -27-R27-SF_PLUS,Galaxy Z Flip7,N/A,512GB,SF_PLUS,48900.0,37900.0,2026-08-19,2026-08-27,Promotion Retail Aug 2026.xlsx,19 -27  Aug,Expired campaign (19 -27  Aug)
RET-19 -27-R28-SF_PLUS,Galaxy Z Flip7,N/A,256GB,SF_PLUS,40900.0,29900.0,2026-08-19,2026-08-27,Promotion Retail Aug 2026.xlsx,19 -27  Aug,Expired campaign (19 -27  Aug)
RET-19 -27-R29-SF_PLUS,Galaxy A57 5G,N/A,12/512GB,SF_PLUS,20999.0,20999.0,2026-08-19,2026-08-27,Promotion Retail Aug 2026.xlsx,19 -27  Aug,Expired campaign (19 -27  Aug)
RET-19 -27-R29-STUDENT,Galaxy A57 5G,N/A,12/512GB,STUDENT,20999.0,18479.0,2026-08-19,2026-08-27,Promotion Retail Aug 2026.xlsx,19 -27  Aug,Expired campaign (19 -27  Aug)
RET-19 -27-R30-SF_PLUS,Galaxy A57 5G,N/A,12/256GB,SF_PLUS,17999.0,17999.0,2026-08-19,2026-08-27,Promotion Retail Aug 2026.xlsx,19 -27  Aug,Expired campaign (19 -27  Aug)
RET-19 -27-R30-STUDENT,Galaxy A57 5G,N/A,12/256GB,STUDENT,17999.0,15479.0,2026-08-19,2026-08-27,Promotion Retail Aug 2026.xlsx,19 -27  Aug,Expired campaign (19 -27  Aug)
RET-19 -27-R31-SF_PLUS,Galaxy A57 5G,N/A,8/256GB,SF_PLUS,16999.0,16999.0,2026-08-19,2026-08-27,Promotion Retail Aug 2026.xlsx,19 -27  Aug,Expired campaign (19 -27  Aug)
RET-19 -27-R31-STUDENT,Galaxy A57 5G,N/A,8/256GB,STUDENT,16999.0,14449.0,2026-08-19,2026-08-27,Promotion Retail Aug 2026.xlsx,19 -27  Aug,Expired campaign (19 -27  Aug)
RET-19 -27-R32-STANDARD_PAYMENT,"Galaxy A57 5G 
(ไม่สามารถใช้ร่วมกับ SF+ ได้)",N/A,12/512GB,STANDARD_PAYMENT,20999.0,18999.0,2026-08-19,2026-08-27,Promotion Retail Aug 2026.xlsx,19 -27  Aug,Expired campaign (19 -27  Aug)
