variantId,model,P/N Masked,productCodeType,saleMode,errorCode,errorExplanation,sourceFileDisplayName,sourceSheet,sourceRow,rawTextExcerpt,requiredAction
RET-19 -27-R22-TRADEUP,Galaxy Z Flip8,N/A,STANDARD_SM,TRADE_UP,PRICE_EQUATION_MISMATCH,Historical Quarantined by Rule Engine: PRICE_EQUATION_MISMATCH.,Promotion Retail Aug 2026.xlsx,19 -27  Aug,22,,Historical expired record - no retail remediation required
RET-19 -27-R23-TRADEUP,Galaxy Z Flip8,N/A,STANDARD_SM,TRADE_UP,PRICE_EQUATION_MISMATCH,Historical Quarantined by Rule Engine: PRICE_EQUATION_MISMATCH.,Promotion Retail Aug 2026.xlsx,19 -27  Aug,23,,Historical expired record - no retail remediation required
RET- 17-18-R22-TRADEUP,Galaxy Z Flip8,N/A,STANDARD_SM,TRADE_UP,PRICE_EQUATION_MISMATCH,Historical Quarantined by Rule Engine: PRICE_EQUATION_MISMATCH.,Promotion Retail Aug 2026.xlsx, 17-18  Aug,22,,Historical expired record - no retail remediation required
RET- 17-18-R23-TRADEUP,Galaxy Z Flip8,N/A,STANDARD_SM,TRADE_UP,PRICE_EQUATION_MISMATCH,Historical Quarantined by Rule Engine: PRICE_EQUATION_MISMATCH.,Promotion Retail Aug 2026.xlsx, 17-18  Aug,23,,Historical expired record - no retail remediation required
RET- 14 Au-R22-TRADEUP,Galaxy Z Flip8,N/A,STANDARD_SM,TRADE_UP,PRICE_EQUATION_MISMATCH,Historical Quarantined by Rule Engine: PRICE_EQUATION_MISMATCH.,Promotion Retail Aug 2026.xlsx, 14 Aug -16 Aug,22,,Historical expired record - no retail remediation required
RET- 14 Au-R23-TRADEUP,Galaxy Z Flip8,N/A,STANDARD_SM,TRADE_UP,PRICE_EQUATION_MISMATCH,Historical Quarantined by Rule Engine: PRICE_EQUATION_MISMATCH.,Promotion Retail Aug 2026.xlsx, 14 Aug -16 Aug,23,,Historical expired record - no retail remediation required
RET- 7 Aug-R16-TRADEUP,Galaxy Z Fold8 Ultra,N/A,STANDARD_SM,TRADE_UP,MISSING_NET_PRICE,Historical Quarantined by Rule Engine: MISSING_NET_PRICE.,Promotion Retail Aug 2026.xlsx, 7 Aug - 12 Aug,16,,Historical expired record - no retail remediation required
RET- 7 Aug-R17-TRADEUP,Galaxy Z Fold8 Ultra,N/A,STANDARD_SM,TRADE_UP,MISSING_NET_PRICE,Historical Quarantined by Rule Engine: MISSING_NET_PRICE.,Promotion Retail Aug 2026.xlsx, 7 Aug - 12 Aug,17,,Historical expired record - no retail remediation required
RET- 7 Aug-R18-TRADEUP,Galaxy Z Fold8 Ultra,N/A,STANDARD_SM,TRADE_UP,MISSING_NET_PRICE,Historical Quarantined by Rule Engine: MISSING_NET_PRICE.,Promotion Retail Aug 2026.xlsx, 7 Aug - 12 Aug,18,,Historical expired record - no retail remediation required
RET- 7 Aug-R19-TRADEUP,Galaxy Z Fold8,N/A,STANDARD_SM,TRADE_UP,MISSING_NET_PRICE,Historical Quarantined by Rule Engine: MISSING_NET_PRICE.,Promotion Retail Aug 2026.xlsx, 7 Aug - 12 Aug,19,,Historical expired record - no retail remediation required
RET- 7 Aug-R20-TRADEUP,Galaxy Z Fold8,N/A,STANDARD_SM,TRADE_UP,MISSING_NET_PRICE,Historical Quarantined by Rule Engine: MISSING_NET_PRICE.,Promotion Retail Aug 2026.xlsx, 7 Aug - 12 Aug,20,,Historical expired record - no retail remediation required
