Variant ID,Gift Name,Header Date In Source,Effective Start,Effective End,Temporal Status,Validation Status,Eligible For 2026,Action Taken
PREM-2025-R3,Premium SAMSUNG TC-04 (Type-C)  มูลค่า 199,อัพเดทของแถม Smart Phone SAMSUNG เริ่ม 1 July - 30 Sep.2025 ตัดแถมยิงคูปอง10,2025-07-01,2025-09-30,EXPIRED,VALID_HISTORICAL_RECORD,NO (EXPIRED),จัดเก็บเป็นประวัติใน Archived Promotion และตัดออกจาก Blocked KPI โดยเด็ดขาด
PREM-2025-R4,Premium SAMSUNG TC-05 (Type-C)  มูลค่า 199,อัพเดทของแถม Smart Phone SAMSUNG เริ่ม 1 July - 30 Sep.2025 ตัดแถมยิงคูปอง10,2025-07-01,2025-09-30,EXPIRED,VALID_HISTORICAL_RECORD,NO (EXPIRED),จัดเก็บเป็นประวัติใน Archived Promotion และตัดออกจาก Blocked KPI โดยเด็ดขาด
PREM-2025-R5,ขาตั้งมือถือ Multifunction & Premium D-Power Phone Holder PH-03  มูลค่า 299,อัพเดทของแถม Smart Phone SAMSUNG เริ่ม 1 July - 30 Sep.2025 ตัดแถมยิงคูปอง10,2025-07-01,2025-09-30,EXPIRED,VALID_HISTORICAL_RECORD,NO (EXPIRED),จัดเก็บเป็นประวัติใน Archived Promotion และตัดออกจาก Blocked KPI โดยเด็ดขาด
PREM-2025-R6,Premium Wireless Speaker EP-20 Black  มูลค่า  199,อัพเดทของแถม Smart Phone SAMSUNG เริ่ม 1 July - 30 Sep.2025 ตัดแถมยิงคูปอง10,2025-07-01,2025-09-30,EXPIRED,VALID_HISTORICAL_RECORD,NO (EXPIRED),จัดเก็บเป็นประวัติใน Archived Promotion และตัดออกจาก Blocked KPI โดยเด็ดขาด
PREM-2025-R7,Premium D-power Selfie Stick-SF03 มูลค่า 399,อัพเดทของแถม Smart Phone SAMSUNG เริ่ม 1 July - 30 Sep.2025 ตัดแถมยิงคูปอง10,2025-07-01,2025-09-30,EXPIRED,VALID_HISTORICAL_RECORD,NO (EXPIRED),จัดเก็บเป็นประวัติใน Archived Promotion และตัดออกจาก Blocked KPI โดยเด็ดขาด
PREM-2025-R8,Premium D-power Selfie Stick-SF03 มูลค่า 399,อัพเดทของแถม Smart Phone SAMSUNG เริ่ม 1 July - 30 Sep.2025 ตัดแถมยิงคูปอง10,2025-07-01,2025-09-30,EXPIRED,VALID_HISTORICAL_RECORD,NO (EXPIRED),จัดเก็บเป็นประวัติใน Archived Promotion และตัดออกจาก Blocked KPI โดยเด็ดขาด
PREM-2025-R9,[PM] EZHome Mini Portable Handheld Fan EF02 - Pink  มูลค่า  239,อัพเดทของแถม Smart Phone SAMSUNG เริ่ม 1 July - 30 Sep.2025 ตัดแถมยิงคูปอง10,2025-07-01,2025-09-30,EXPIRED,VALID_HISTORICAL_RECORD,NO (EXPIRED),จัดเก็บเป็นประวัติใน Archived Promotion และตัดออกจาก Blocked KPI โดยเด็ดขาด
PREM-2025-R10,[PM] EZHome Mini Portable Handheld Fan EF02 - Light Blue มูลค่า  239,อัพเดทของแถม Smart Phone SAMSUNG เริ่ม 1 July - 30 Sep.2025 ตัดแถมยิงคูปอง10,2025-07-01,2025-09-30,EXPIRED,VALID_HISTORICAL_RECORD,NO (EXPIRED),จัดเก็บเป็นประวัติใน Archived Promotion และตัดออกจาก Blocked KPI โดยเด็ดขาด
PREM-2025-R11,[PM] EZHome Mini Portable Handheld Fan EF02 - White มูลค่า  239,อัพเดทของแถม Smart Phone SAMSUNG เริ่ม 1 July - 30 Sep.2025 ตัดแถมยิงคูปอง10,2025-07-01,2025-09-30,EXPIRED,VALID_HISTORICAL_RECORD,NO (EXPIRED),จัดเก็บเป็นประวัติใน Archived Promotion และตัดออกจาก Blocked KPI โดยเด็ดขาด
PREM-2025-R12,[PM] D-Power Powerbank GC106 10000 mAh - SAMSUNG  มูลค่า 599,อัพเดทของแถม Smart Phone SAMSUNG เริ่ม 1 July - 30 Sep.2025 ตัดแถมยิงคูปอง10,2025-07-01,2025-09-30,EXPIRED,VALID_HISTORICAL_RECORD,NO (EXPIRED),จัดเก็บเป็นประวัติใน Archived Promotion และตัดออกจาก Blocked KPI โดยเด็ดขาด
