promoId,model,beforeStatus,beforeErrorCodes,afterStatus,afterErrorCodes,rrp,ssDiscount,cpwDiscount,addOnDiscount,netPrice,valueOrigin,sourceCells
TAB-R4-ADDON-KEYBOARD,Galaxy Tab S11  Ultra 5G,BLOCKED_INVALID,PRICE_EQUATION_MISMATCH,PASSED_VALIDATION,,48900.0,3000.0,2000.0,5000.0,43900.0,SOURCE_CELLS,"D4, E4, F4, G4"
TAB-R5-ADDON-KEYBOARD,Galaxy Tab S11 (5G),BLOCKED_INVALID,PRICE_EQUATION_MISMATCH,PASSED_VALIDATION,,33900.0,2000.0,1500.0,3500.0,30400.0,SOURCE_CELLS,"D5, E5, F5, G5"
TAB-R6-ADDON-KEYBOARD,Galaxy Tab S11  (WiFi),BLOCKED_INVALID,PRICE_EQUATION_MISMATCH,PASSED_VALIDATION,,28900.0,2000.0,1500.0,3500.0,25400.0,SOURCE_CELLS,"D6, E6, F6, G6"
TAB-R9-ADDON-KEYBOARD,Galaxy Tab S10 FE+ 5G,BLOCKED_INVALID,PRICE_EQUATION_MISMATCH,PASSED_VALIDATION,,30900.0,4000.0,1000.0,5000.0,25900.0,SOURCE_CELLS,"D9, E9, F9, G9"
TAB-R10-ADDON-KEYBOARD,Galaxy Tab S10 FE+ WiFi,BLOCKED_INVALID,PRICE_EQUATION_MISMATCH,PASSED_VALIDATION,,27900.0,4000.0,1000.0,5000.0,22900.0,SOURCE_CELLS,"D10, E10, F10, G10"
TAB-R11-ADDON-KEYBOARD,Galaxy Tab S10 FE 5G,BLOCKED_INVALID,PRICE_EQUATION_MISMATCH,PASSED_VALIDATION,,22900.0,2000.0,1500.0,3500.0,19400.0,SOURCE_CELLS,"D11, E11, F11, G11"
TAB-R12-ADDON-KEYBOARD,Galaxy Tab S10 FE WiFi,BLOCKED_INVALID,PRICE_EQUATION_MISMATCH,PASSED_VALIDATION,,19900.0,2000.0,1500.0,3500.0,16400.0,SOURCE_CELLS,"D12, E12, F12, G12"
TAB-R20-ADDON-KEYBOARD,"Galaxy Tab A11+  5G  (NEW)
(ไม่สามารถใช้ร่วมกับ SF+ ได้)",BLOCKED_INVALID,PRICE_EQUATION_MISMATCH,PASSED_VALIDATION,,10490.0,1000.0,500.0,1500.0,8990.0,SOURCE_CELLS,"D20, E20, F20, G20"
TAB-R21-ADDON-KEYBOARD,"Galaxy Tab A11+  WiFi  (NEW)
(ไม่สามารถใช้ร่วมกับ SF+ ได้)",BLOCKED_INVALID,PRICE_EQUATION_MISMATCH,PASSED_VALIDATION,,8490.0,1000.0,500.0,1500.0,6990.0,SOURCE_CELLS,"D21, E21, F21, G21"
TAB-R22-ADDON-KEYBOARD,"Galaxy Tab A11+  5G  (NEW)
(ใช้ร่วมกับ SF+ ได้)",BLOCKED_INVALID,PRICE_EQUATION_MISMATCH,PASSED_VALIDATION,,10490.0,500.0,,500.0,9990.0,SOURCE_CELLS,"D22, E22, F22, G22"
TAB-R23-ADDON-KEYBOARD,"Galaxy Tab A11+  WiFi  (NEW)
(ใช้ร่วมกับ SF+ ได้)",BLOCKED_INVALID,PRICE_EQUATION_MISMATCH,PASSED_VALIDATION,,8490.0,500.0,,500.0,7990.0,SOURCE_CELLS,"D23, E23, F23, G23"
TAB-R24-ADDON-KEYBOARD,"Galaxy Tab A11 LTE  (NEW)
(ไม่สามารถใช้ร่วมกับ SF+ ได้)",BLOCKED_INVALID,PRICE_EQUATION_MISMATCH,PASSED_VALIDATION,,7490.0,1000.0,500.0,1500.0,5990.0,SOURCE_CELLS,"D24, E24, F24, G24"
TAB-R25-ADDON-KEYBOARD,"Galaxy Tab A11 LTE  (NEW)
(ใช้ร่วมกับ SF+ ได้)",BLOCKED_INVALID,PRICE_EQUATION_MISMATCH,PASSED_VALIDATION,,7490.0,500.0,,500.0,6990.0,SOURCE_CELLS,"D25, E25, F25, G25"
