Variant ID,P/N,Product Code Type,Model,Capacity,RRP,Sale Mode,Trade Up Discount,Net Price,Source File,Source Sheet,Source Row,Evidence Finding
RET-อัพเดท-R18-TRADEUP,-,STANDARD_SM,Galaxy Z Fold8 Ultra,1TB,93900.0,TRADE_UP,7000.0,86900.0,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,18,Trade Up Net ราคาเฉพาะโหมดเก่าแลกใหม่ ห้ามแสดงเป็นราคาเครื่องเปล่า
RET-อัพเดท-R19-TRADEUP,-,STANDARD_SM,Galaxy Z Fold8 Ultra,512GB,77900.0,TRADE_UP,5000.0,72900.0,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,19,Trade Up Net ราคาเฉพาะโหมดเก่าแลกใหม่ ห้ามแสดงเป็นราคาเครื่องเปล่า
RET-อัพเดท-R20-TRADEUP,-,STANDARD_SM,Galaxy Z Fold8 Ultra,256GB,69900.0,TRADE_UP,5000.0,64900.0,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,20,Trade Up Net ราคาเฉพาะโหมดเก่าแลกใหม่ ห้ามแสดงเป็นราคาเครื่องเปล่า
RET-อัพเดท-R21-TRADEUP,-,STANDARD_SM,Galaxy Z Fold8,1TB,85900.0,TRADE_UP,7000.0,78900.0,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,21,Trade Up Net ราคาเฉพาะโหมดเก่าแลกใหม่ ห้ามแสดงเป็นราคาเครื่องเปล่า
RET-อัพเดท-R22-TRADEUP,-,STANDARD_SM,Galaxy Z Fold8,512GB,69900.0,TRADE_UP,5000.0,64900.0,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,22,Trade Up Net ราคาเฉพาะโหมดเก่าแลกใหม่ ห้ามแสดงเป็นราคาเครื่องเปล่า
RET-อัพเดท-R23-TRADEUP,-,STANDARD_SM,Galaxy Z Fold8,256GB,61900.0,TRADE_UP,5000.0,56900.0,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,23,Trade Up Net ราคาเฉพาะโหมดเก่าแลกใหม่ ห้ามแสดงเป็นราคาเครื่องเปล่า
RET-อัพเดท-R24-TRADEUP,-,STANDARD_SM,Galaxy Z Flip8,512GB,50900.0,TRADE_UP,5000.0,45900.0,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,24,Trade Up Net ราคาเฉพาะโหมดเก่าแลกใหม่ ห้ามแสดงเป็นราคาเครื่องเปล่า
RET-อัพเดท-R25-TRADEUP,-,STANDARD_SM,Galaxy Z Flip8,256GB,42900.0,TRADE_UP,5000.0,37900.0,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,25,Trade Up Net ราคาเฉพาะโหมดเก่าแลกใหม่ ห้ามแสดงเป็นราคาเครื่องเปล่า
RET-19 -27-R16-TRADEUP,-,STANDARD_SM,Galaxy Z Fold8 Ultra,1TB,93900.0,TRADE_UP,7000.0,86900.0,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,19 -27  Aug,16,Trade Up Net ราคาเฉพาะโหมดเก่าแลกใหม่ ห้ามแสดงเป็นราคาเครื่องเปล่า
RET-19 -27-R17-TRADEUP,-,STANDARD_SM,Galaxy Z Fold8 Ultra,512GB,77900.0,TRADE_UP,5000.0,72900.0,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,19 -27  Aug,17,Trade Up Net ราคาเฉพาะโหมดเก่าแลกใหม่ ห้ามแสดงเป็นราคาเครื่องเปล่า
RET-19 -27-R18-TRADEUP,-,STANDARD_SM,Galaxy Z Fold8 Ultra,256GB,69900.0,TRADE_UP,5000.0,64900.0,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,19 -27  Aug,18,Trade Up Net ราคาเฉพาะโหมดเก่าแลกใหม่ ห้ามแสดงเป็นราคาเครื่องเปล่า
