Variant ID,P/N,Model,Source Formula Col E,Source Formula Col G,Cached Value Col E,Cached Value Col G,Displayed Value,Error Type,Net Price,Price Display Text,Status,Error Code
ACC-ERR-R70,-,,Col E: #ERROR! | Col G: #ERROR!,-,#ERROR!,-,#ERROR!,FORMULA_CALCULATION_FAILURE,None,ไม่สามารถยืนยันราคาโปร,BLOCKED_INVALID,SOURCE_FORMULA_ERROR
ACC-ERR-R71,-,,Col E: #ERROR! | Col G: #ERROR!,-,#ERROR!,-,#ERROR!,FORMULA_CALCULATION_FAILURE,None,ไม่สามารถยืนยันราคาโปร,BLOCKED_INVALID,SOURCE_FORMULA_ERROR
ACC-ERR-R72,-,,Col E: #ERROR! | Col G: #ERROR!,-,#ERROR!,-,#ERROR!,FORMULA_CALCULATION_FAILURE,None,ไม่สามารถยืนยันราคาโปร,BLOCKED_INVALID,SOURCE_FORMULA_ERROR
ACC-ERR-R73,-,,Col E: #ERROR! | Col G: #ERROR!,-,#ERROR!,-,#ERROR!,FORMULA_CALCULATION_FAILURE,None,ไม่สามารถยืนยันราคาโปร,BLOCKED_INVALID,SOURCE_FORMULA_ERROR
ACC-ERR-R74,-,,Col E: #ERROR! | Col G: #ERROR!,-,#ERROR!,-,#ERROR!,FORMULA_CALCULATION_FAILURE,None,ไม่สามารถยืนยันราคาโปร,BLOCKED_INVALID,SOURCE_FORMULA_ERROR
ACC-ERR-R75,-,,Col E: #ERROR! | Col G: #ERROR!,-,#ERROR!,-,#ERROR!,FORMULA_CALCULATION_FAILURE,None,ไม่สามารถยืนยันราคาโปร,BLOCKED_INVALID,SOURCE_FORMULA_ERROR
ACC-ERR-R76,-,,Col E: #ERROR! | Col G: #ERROR!,-,#ERROR!,-,#ERROR!,FORMULA_CALCULATION_FAILURE,None,ไม่สามารถยืนยันราคาโปร,BLOCKED_INVALID,SOURCE_FORMULA_ERROR
ACC-ERR-R77,-,,Col E: #ERROR! | Col G: #ERROR!,-,#ERROR!,-,#ERROR!,FORMULA_CALCULATION_FAILURE,None,ไม่สามารถยืนยันราคาโปร,BLOCKED_INVALID,SOURCE_FORMULA_ERROR
ACC-ERR-R78,-,,Col E: #ERROR! | Col G: #ERROR!,-,#ERROR!,-,#ERROR!,FORMULA_CALCULATION_FAILURE,None,ไม่สามารถยืนยันราคาโปร,BLOCKED_INVALID,SOURCE_FORMULA_ERROR
ACC-ERR-R79,-,,Col E: #ERROR! | Col G: #ERROR!,-,#ERROR!,-,#ERROR!,FORMULA_CALCULATION_FAILURE,None,ไม่สามารถยืนยันราคาโปร,BLOCKED_INVALID,SOURCE_FORMULA_ERROR
ACC-ERR-R80,-,,Col E: #ERROR! | Col G: #ERROR!,-,#ERROR!,-,#ERROR!,FORMULA_CALCULATION_FAILURE,None,ไม่สามารถยืนยันราคาโปร,BLOCKED_INVALID,SOURCE_FORMULA_ERROR
ACC-ERR-R81,-,,Col E: #ERROR! | Col G: #ERROR!,-,#ERROR!,-,#ERROR!,FORMULA_CALCULATION_FAILURE,None,ไม่สามารถยืนยันราคาโปร,BLOCKED_INVALID,SOURCE_FORMULA_ERROR
ACC-ERR-R82,-,,Col E: #ERROR! | Col G: #ERROR!,-,#ERROR!,-,#ERROR!,FORMULA_CALCULATION_FAILURE,None,ไม่สามารถยืนยันราคาโปร,BLOCKED_INVALID,SOURCE_FORMULA_ERROR
ACC-ERR-R83,-,,Col E: #ERROR! | Col G: #ERROR!,-,#ERROR!,-,#ERROR!,FORMULA_CALCULATION_FAILURE,None,ไม่สามารถยืนยันราคาโปร,BLOCKED_INVALID,SOURCE_FORMULA_ERROR
ACC-ERR-R84,-,,Col E: #ERROR! | Col G: #ERROR!,-,#ERROR!,-,#ERROR!,FORMULA_CALCULATION_FAILURE,None,ไม่สามารถยืนยันราคาโปร,BLOCKED_INVALID,SOURCE_FORMULA_ERROR
ACC-ERR-R85,-,,Col E: #ERROR! | Col G: #ERROR!,-,#ERROR!,-,#ERROR!,FORMULA_CALCULATION_FAILURE,None,ไม่สามารถยืนยันราคาโปร,BLOCKED_INVALID,SOURCE_FORMULA_ERROR
ACC-ERR-R86,-,,Col E: #ERROR! | Col G: #ERROR!,-,#ERROR!,-,#ERROR!,FORMULA_CALCULATION_FAILURE,None,ไม่สามารถยืนยันราคาโปร,BLOCKED_INVALID,SOURCE_FORMULA_ERROR
ACC-ERR-R87,-,,Col E: #ERROR! | Col G: #ERROR!,-,#ERROR!,-,#ERROR!,FORMULA_CALCULATION_FAILURE,None,ไม่สามารถยืนยันราคาโปร,BLOCKED_INVALID,SOURCE_FORMULA_ERROR
ACC-ERR-R88,-,,Col E: #ERROR! | Col G: #ERROR!,-,#ERROR!,-,#ERROR!,FORMULA_CALCULATION_FAILURE,None,ไม่สามารถยืนยันราคาโปร,BLOCKED_INVALID,SOURCE_FORMULA_ERROR
ACC-ERR-R89,-,,Col E: #ERROR! | Col G: #ERROR!,-,#ERROR!,-,#ERROR!,FORMULA_CALCULATION_FAILURE,None,ไม่สามารถยืนยันราคาโปร,BLOCKED_INVALID,SOURCE_FORMULA_ERROR
ACC-ERR-R90,-,,Col E: #ERROR! | Col G: #ERROR!,-,#ERROR!,-,#ERROR!,FORMULA_CALCULATION_FAILURE,None,ไม่สามารถยืนยันราคาโปร,BLOCKED_INVALID,SOURCE_FORMULA_ERROR
ACC-ERR-R91,-,,Col E: #ERROR! | Col G: #ERROR!,-,#ERROR!,-,#ERROR!,FORMULA_CALCULATION_FAILURE,None,ไม่สามารถยืนยันราคาโปร,BLOCKED_INVALID,SOURCE_FORMULA_ERROR
ACC-ERR-R92,-,,Col E: #ERROR! | Col G: #ERROR!,-,#ERROR!,-,#ERROR!,FORMULA_CALCULATION_FAILURE,None,ไม่สามารถยืนยันราคาโปร,BLOCKED_INVALID,SOURCE_FORMULA_ERROR
ACC-ERR-R93,-,,Col E: #ERROR! | Col G: #ERROR!,-,#ERROR!,-,#ERROR!,FORMULA_CALCULATION_FAILURE,None,ไม่สามารถยืนยันราคาโปร,BLOCKED_INVALID,SOURCE_FORMULA_ERROR
ACC-ERR-R94,-,,Col E: #ERROR! | Col G: #ERROR!,-,#ERROR!,-,#ERROR!,FORMULA_CALCULATION_FAILURE,None,ไม่สามารถยืนยันราคาโปร,BLOCKED_INVALID,SOURCE_FORMULA_ERROR
ACC-ERR-R95,-,,Col E: #ERROR! | Col G: #ERROR!,-,#ERROR!,-,#ERROR!,FORMULA_CALCULATION_FAILURE,None,ไม่สามารถยืนยันราคาโปร,BLOCKED_INVALID,SOURCE_FORMULA_ERROR
ACC-ERR-R96,-,,Col E: #ERROR! | Col G: #ERROR!,-,#ERROR!,-,#ERROR!,FORMULA_CALCULATION_FAILURE,None,ไม่สามารถยืนยันราคาโปร,BLOCKED_INVALID,SOURCE_FORMULA_ERROR
