Variant ID,P/N,Model,RRP,Discount Type,Discount Value,Net Price,Coupon,Sale Mode,Companion Requirement,Status,Source Row,Calculation Audit
STOCK-R182-BUDSCORE,SM-R410NZKAASA,Samsung Galaxy Buds Core,1490.0,FIXED_BAHT,200.0,1290.0,03,STANDARD_PAYMENT,ไม่มี (ซื้อเดี่ยวได้),WARNING,182,"RRP (1,490) - Disc (200) = Net (1,290) [OK]"
STOCK-R183-BUDSCORE,SM-R410NZWAASA,,1490.0,FIXED_BAHT,200.0,1290.0,-,STANDARD_PAYMENT,ไม่มี (ซื้อเดี่ยวได้),WARNING,183,"RRP (1,490) - Disc (200) = Net (1,290) [OK]"
STOCK-R184-MBO,SM-R420NZKAASA,Samsung Galaxy Buds3 FE,4290.0,PERCENT,1287,3003.0,-,MBO,ต้องซื้อคู่สมาร์ทโฟนที่กำหนดในวันเดียวกัน,WARNING,184,"RRP (4,290) - Disc (1,287) = Net (3,003) [OK]"
STOCK-R185-MBO,SM-R420NZAAASA,,4290.0,PERCENT,1287,3003.0,-,MBO,ต้องซื้อคู่สมาร์ทโฟนที่กำหนดในวันเดียวกัน,WARNING,185,"RRP (4,290) - Disc (1,287) = Net (3,003) [OK]"
STOCK-R186-MBO,SM-R540NZKAASA,Samsung Galaxy Buds4,5990.0,PERCENT,1797,4193.0,-,MBO,ต้องซื้อคู่สมาร์ทโฟนที่กำหนดในวันเดียวกัน,WARNING,186,"RRP (5,990) - Disc (1,797) = Net (4,193) [OK]"
STOCK-R187-MBO,SM-R540NZWAASA,,5990.0,PERCENT,1797,4193.0,-,MBO,ต้องซื้อคู่สมาร์ทโฟนที่กำหนดในวันเดียวกัน,WARNING,187,"RRP (5,990) - Disc (1,797) = Net (4,193) [OK]"
STOCK-R188-MBO,SM-R640NZKAASA,Samsung Galaxy Buds4 Pro,7990.0,PERCENT,2397,5593.0,-,MBO,ต้องซื้อคู่สมาร์ทโฟนที่กำหนดในวันเดียวกัน,WARNING,188,"RRP (7,990) - Disc (2,397) = Net (5,593) [OK]"
STOCK-R189-MBO,SM-R640NZWAASA,,7990.0,PERCENT,2397,5593.0,-,MBO,ต้องซื้อคู่สมาร์ทโฟนที่กำหนดในวันเดียวกัน,WARNING,189,"RRP (7,990) - Disc (2,397) = Net (5,593) [OK]"
STOCK-R190-MBO,SM-R640NZDAASA,,7990.0,PERCENT,2397,5593.0,-,MBO,ต้องซื้อคู่สมาร์ทโฟนที่กำหนดในวันเดียวกัน,WARNING,190,"RRP (7,990) - Disc (2,397) = Net (5,593) [OK]"
STOCK-R200-WATCH8-FIXED,SM-L320NDAAASA,Samsung Galaxy Watch8 40mm BT,11900.0,FIXED_BAHT,4000.0,7900.0,-,STANDARD_PAYMENT,ไม่มี (ซื้อเดี่ยวได้),WARNING,200,"RRP (11,900) - Disc (4,000) = Net (7,900) [OK]"
STOCK-R201-WATCH8-FIXED,SM-L320NZSAASA,,11900.0,FIXED_BAHT,4000.0,7900.0,-,STANDARD_PAYMENT,ไม่มี (ซื้อเดี่ยวได้),WARNING,201,"RRP (11,900) - Disc (4,000) = Net (7,900) [OK]"
STOCK-R202-WATCH8-FIXED,SM-L330NDAAASA,Samsung Galaxy Watch8 44mm BT,13900.0,FIXED_BAHT,4000.0,9900.0,-,STANDARD_PAYMENT,ไม่มี (ซื้อเดี่ยวได้),WARNING,202,"RRP (13,900) - Disc (4,000) = Net (9,900) [OK]"
STOCK-R203-MBO,SM-L500NZKAASA,Samsung Galaxy Watch8 Classic BT,17900.0,PERCENT,5370,12530.0,-,MBO,ต้องซื้อคู่สมาร์ทโฟนที่กำหนดในวันเดียวกัน,WARNING,203,"RRP (17,900) - Disc (5,370) = Net (12,530) [OK]"
STOCK-R204-MBO,SM-L500NZWAASA,Samsung Galaxy Watch8 Classic BT,17900.0,PERCENT,5370,12530.0,-,MBO,ต้องซื้อคู่สมาร์ทโฟนที่กำหนดในวันเดียวกัน,WARNING,204,"RRP (17,900) - Disc (5,370) = Net (12,530) [OK]"
STOCK-R205-MBO,SM-L505FZKATHL,Samsung Galaxy Watch8 Classic LTE,19900.0,PERCENT,5970,13930.0,-,MBO,ต้องซื้อคู่สมาร์ทโฟนที่กำหนดในวันเดียวกัน,WARNING,205,"RRP (19,900) - Disc (5,970) = Net (13,930) [OK]"
STOCK-R206-MBO,SM-L340NZEAASA,Samsung Galaxy Watch9 40mm,12900.0,PERCENT,3870,9030.0,-,MBO,ต้องซื้อคู่สมาร์ทโฟนที่กำหนดในวันเดียวกัน,WARNING,206,"RRP (12,900) - Disc (3,870) = Net (9,030) [OK]"
STOCK-R207-MBO,SM-L340NZKAASA,,12900.0,PERCENT,3870,9030.0,-,MBO,ต้องซื้อคู่สมาร์ทโฟนที่กำหนดในวันเดียวกัน,WARNING,207,"RRP (12,900) - Disc (3,870) = Net (9,030) [OK]"
STOCK-R208-MBO,SM-L350NZSAASA,Samsung Galaxy Watch9 44mm,14900.0,PERCENT,4470,10430.0,-,MBO,ต้องซื้อคู่สมาร์ทโฟนที่กำหนดในวันเดียวกัน,WARNING,208,"RRP (14,900) - Disc (4,470) = Net (10,430) [OK]"
