variantId,model,pn,sourceSheet,sourceRow,isCurrentCampaign,primaryErrorCode,allErrorCodes,rawTextExcerpt,rootCause,requiredAction
RET-อัพเดท-R24-TRADEUP,Galaxy Z Flip8,N/A,อัพเดท 28 Aug - 6 Sep ล่าสุด,24,YES (CURRENT_BATCH),PRICE_EQUATION_MISMATCH,PRICE_EQUATION_MISMATCH,,Net price does not equal RRP minus Standard Discount (arithmetic discrepancy),Verify discount calculation in source Excel table against official retail guideline
RET-อัพเดท-R25-TRADEUP,Galaxy Z Flip8,N/A,อัพเดท 28 Aug - 6 Sep ล่าสุด,25,YES (CURRENT_BATCH),PRICE_EQUATION_MISMATCH,PRICE_EQUATION_MISMATCH,,Net price does not equal RRP minus Standard Discount (arithmetic discrepancy),Verify discount calculation in source Excel table against official retail guideline
TAB-R4-ADDON-KEYBOARD,Galaxy Tab S11  Ultra 5G,N/A,โปร และ เงื่อนไขการตัดขาย,4,YES (CURRENT_BATCH),PRICE_EQUATION_MISMATCH,PRICE_EQUATION_MISMATCH,,Net price does not equal RRP minus Standard Discount (arithmetic discrepancy),Verify discount calculation in source Excel table against official retail guideline
TAB-R5-ADDON-KEYBOARD,Galaxy Tab S11 (5G),N/A,โปร และ เงื่อนไขการตัดขาย,5,YES (CURRENT_BATCH),PRICE_EQUATION_MISMATCH,PRICE_EQUATION_MISMATCH,,Net price does not equal RRP minus Standard Discount (arithmetic discrepancy),Verify discount calculation in source Excel table against official retail guideline
TAB-R6-ADDON-KEYBOARD,Galaxy Tab S11  (WiFi),N/A,โปร และ เงื่อนไขการตัดขาย,6,YES (CURRENT_BATCH),PRICE_EQUATION_MISMATCH,PRICE_EQUATION_MISMATCH,,Net price does not equal RRP minus Standard Discount (arithmetic discrepancy),Verify discount calculation in source Excel table against official retail guideline
TAB-R9-ADDON-KEYBOARD,Galaxy Tab S10 FE+ 5G,N/A,โปร และ เงื่อนไขการตัดขาย,9,YES (CURRENT_BATCH),PRICE_EQUATION_MISMATCH,PRICE_EQUATION_MISMATCH,,Net price does not equal RRP minus Standard Discount (arithmetic discrepancy),Verify discount calculation in source Excel table against official retail guideline
TAB-R10-ADDON-KEYBOARD,Galaxy Tab S10 FE+ WiFi,N/A,โปร และ เงื่อนไขการตัดขาย,10,YES (CURRENT_BATCH),PRICE_EQUATION_MISMATCH,PRICE_EQUATION_MISMATCH,,Net price does not equal RRP minus Standard Discount (arithmetic discrepancy),Verify discount calculation in source Excel table against official retail guideline
TAB-R11-ADDON-KEYBOARD,Galaxy Tab S10 FE 5G,N/A,โปร และ เงื่อนไขการตัดขาย,11,YES (CURRENT_BATCH),PRICE_EQUATION_MISMATCH,PRICE_EQUATION_MISMATCH,,Net price does not equal RRP minus Standard Discount (arithmetic discrepancy),Verify discount calculation in source Excel table against official retail guideline
TAB-R12-ADDON-KEYBOARD,Galaxy Tab S10 FE WiFi,N/A,โปร และ เงื่อนไขการตัดขาย,12,YES (CURRENT_BATCH),PRICE_EQUATION_MISMATCH,PRICE_EQUATION_MISMATCH,,Net price does not equal RRP minus Standard Discount (arithmetic discrepancy),Verify discount calculation in source Excel table against official retail guideline
TAB-R20-ADDON-KEYBOARD,"Galaxy Tab A11+  5G  (NEW)
(ไม่สามารถใช้ร่วมกับ SF+ ได้)",N/A,โปร และ เงื่อนไขการตัดขาย,20,YES (CURRENT_BATCH),PRICE_EQUATION_MISMATCH,PRICE_EQUATION_MISMATCH,,Net price does not equal RRP minus Standard Discount (arithmetic discrepancy),Verify discount calculation in source Excel table against official retail guideline
