Model,P/N,Source Row,Column,Header Path,Raw Value,Interpreted Field,Variant ID,Validation Status
Galaxy S26 Ultra,-,4,D,STANDARD_PAYMENT > ราคาปกติ (RRP),66900.0,field,RET-อัพเดท-R4,PASSED_VALIDATION
Galaxy S26 Ultra,-,4,E,STANDARD_PAYMENT > ส่วนลด (Standard Discount),5000.0,field,RET-อัพเดท-R4,PASSED_VALIDATION
Galaxy S26 Ultra,-,4,F,STANDARD_PAYMENT > คูปอง (Price Coupon),01,field,RET-อัพเดท-R4,PASSED_VALIDATION
Galaxy S26 Ultra,-,4,H,TRADE_UP > ส่วนลดเทรดอัพ (Trade Up Discount),5000.0,field,RET-อัพเดท-R4,PASSED_VALIDATION
Galaxy S26 Ultra,-,4,I,TRADE_UP > รหัสการชำระ (Payment Code: T-UP-CO-S),T-UP-CO-S,field,RET-อัพเดท-R4,PASSED_VALIDATION
Galaxy S26 Ultra,-,4,J,FINAL_NET > ราคาหลังลดและเทรดอัพ (Net Price),56900.0,field,RET-อัพเดท-R4,PASSED_VALIDATION
Galaxy S26 Ultra,-,4,K,FLASH_SALE > ส่วนลดพิเศษ (Flash Sale Discount),9000.0,field,RET-อัพเดท-R4,PASSED_VALIDATION
Galaxy S26 Ultra,-,4,L,FLASH_SALE > ราคาหลังหักส่วนลด (Flash Sale Net),57900.0,field,RET-อัพเดท-R4,PASSED_VALIDATION
Galaxy S26 Ultra,-,4,M,REMARKS > โปรเพิ่มเติม / เงื่อนไข (Remarks/Gifts),"ส่วนลดทั้งหมด 9,000 บาท ไม่ร่วมเทรดอัพ",field,RET-อัพเดท-R4,PASSED_VALIDATION
Galaxy S26 Ultra,-,5,D,STANDARD_PAYMENT > ราคาปกติ (RRP),54900.0,field,RET-อัพเดท-R5,PASSED_VALIDATION
Galaxy S26 Ultra,-,5,E,STANDARD_PAYMENT > ส่วนลด (Standard Discount),5000.0,field,RET-อัพเดท-R5,PASSED_VALIDATION
Galaxy S26 Ultra,-,5,F,STANDARD_PAYMENT > คูปอง (Price Coupon),01,field,RET-อัพเดท-R5,PASSED_VALIDATION
