Variant ID,Previous Status,Current Status,Status Changed,Reason,Error Code,Source File,Source Sheet,Source Row
RET-อัพเดท-R4-SF_PLUS,WARNING,WARNING,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,4
RET-อัพเดท-R4-TRADEUP,WARNING,WARNING,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,4
RET-อัพเดท-R4-FLASHSALE,EXPIRED,EXPIRED,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,4
RET-อัพเดท-R5-SF_PLUS,WARNING,WARNING,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,5
RET-อัพเดท-R5-TRADEUP,WARNING,WARNING,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,5
RET-อัพเดท-R5-STUDENT,WARNING,WARNING,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,5
RET-อัพเดท-R5-FLASHSALE,EXPIRED,EXPIRED,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,5
RET-อัพเดท-R6-SF_PLUS,WARNING,WARNING,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,6
RET-อัพเดท-R6-TRADEUP,WARNING,WARNING,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,6
RET-อัพเดท-R6-STUDENT,WARNING,WARNING,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,6
RET-อัพเดท-R6-FLASHSALE,EXPIRED,EXPIRED,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,6
RET-อัพเดท-R7-SF_PLUS,WARNING,WARNING,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,7
RET-อัพเดท-R8-SF_PLUS,WARNING,WARNING,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,8
RET-อัพเดท-R9-SF_PLUS,WARNING,WARNING,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,9
RET-อัพเดท-R10-SF_PLUS,WARNING,WARNING,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,10
RET-อัพเดท-R11-SF_PLUS,WARNING,WARNING,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,11
RET-อัพเดท-R12-SF_PLUS,WARNING,WARNING,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,12
RET-อัพเดท-R14-SF_PLUS,WARNING,WARNING,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,14
RET-อัพเดท-R14-STUDENT,WARNING,WARNING,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,14
RET-อัพเดท-R15-SF_PLUS,WARNING,WARNING,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,15
RET-อัพเดท-R15-STUDENT,WARNING,WARNING,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,15
RET-อัพเดท-R16-STANDARD_PAYMENT,WARNING,WARNING,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,16
RET-อัพเดท-R17-STANDARD_PAYMENT,WARNING,WARNING,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,17
RET-อัพเดท-R18-TRADEUP,WARNING,WARNING,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,18
RET-อัพเดท-R19-TRADEUP,WARNING,WARNING,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,19
RET-อัพเดท-R20-TRADEUP,WARNING,WARNING,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,20
RET-อัพเดท-R21-TRADEUP,WARNING,WARNING,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,21
RET-อัพเดท-R22-TRADEUP,WARNING,WARNING,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,22
RET-อัพเดท-R23-TRADEUP,WARNING,WARNING,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,23
RET-อัพเดท-R24-TRADEUP,BLOCKED_INVALID,BLOCKED_INVALID,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,PRICE_EQUATION_MISMATCH,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,24
RET-อัพเดท-R25-TRADEUP,BLOCKED_INVALID,BLOCKED_INVALID,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,PRICE_EQUATION_MISMATCH,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,25
RET-อัพเดท-R26-SF_PLUS,WARNING,WARNING,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,26
RET-อัพเดท-R27-SF_PLUS,WARNING,WARNING,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,27
RET-อัพเดท-R28-SF_PLUS,WARNING,WARNING,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,28
RET-อัพเดท-R29-SF_PLUS,WARNING,WARNING,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,29
RET-อัพเดท-R30-SF_PLUS,WARNING,WARNING,NO,คงสถานะตามผลการตรวจ 2D Header-Guided,-,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,30
