P/N,Model,Category,F1,F2,Source Sheet,Source Row,Classification Note
SM-X936BZAATHL,Galaxy Tab S11Ultra 5G 12/256GB,Tablet,3,2,Promotion,155,Core Device: Galaxy Tablet
SM-X826BZAATHL,Galaxy Tab S10Plus 5G,Tablet,0,0,Promotion,156,Core Device: Galaxy Tablet
SM-X820NZAATHL,Galaxy Tab S10Plus Wifi,Tablet,0,0,Promotion,157,Core Device: Galaxy Tablet
SM-X736BZAATHL,Galaxy Tab S11 5G 12/128GB,Tablet,0,0,Promotion,158,Core Device: Galaxy Tablet
SM-X736BZSATHL,Galaxy Tab S11 5G 12/128GB,Tablet,0,0,Promotion,159,Core Device: Galaxy Tablet
SM-X730NZAATHL,Galaxy Tab S11 Wi-Fi 12/128GB,Tablet,0,0,Promotion,160,Core Device: Galaxy Tablet
SM-X730NZSATHL,Galaxy Tab S11 Wi-Fi 12/128GB,Tablet,1,1,Promotion,161,Core Device: Galaxy Tablet
SM-X626BZAETHL,Galaxy Tab S10FE Plus 5G 12/256GB,Tablet,0,0,Promotion,162,Core Device: Galaxy Tablet
SM-X620NZAETHL,Galaxy Tab S10FE Plus Wi-Fi 12/256GB,Tablet,2,0,Promotion,163,Core Device: Galaxy Tablet
SM-X526BLBATHL,Galaxy Tab S10 FE 5G 8/128GB,Tablet,1,0,Promotion,164,Core Device: Galaxy Tablet
SM-X526BZAATHL,Galaxy Tab S10 FE 5G 8/128GB,Tablet,0,0,Promotion,165,Core Device: Galaxy Tablet
SM-X520NLBATHL,Galaxy Tab S10 FE Wifi 8/128GB,Tablet,1,1,Promotion,166,Core Device: Galaxy Tablet
SM-X520NZAATHL,Galaxy Tab S10 FE Wifi 8/128GB,Tablet,0,1,Promotion,167,Core Device: Galaxy Tablet
F-X406BZAAFCX4,Galaxy Tab S10 Lite 5G 6/128GB แถม KB,Tablet,1,2,Promotion,168,Core Device: Galaxy Tablet
F-X406BZRAFCX4,Galaxy Tab S10 Lite 5G 6/128GB แถม KB,Tablet,0,0,Promotion,169,Core Device: Galaxy Tablet
SM-X406BZAATHL,Galaxy Tab S10 Lite 5G 6/128GB,Tablet,2,0,Promotion,170,Core Device: Galaxy Tablet
F-X400NZAAFCX4,Galaxy Tab S10 Lite Wifi 6/128GB แถม KB,Tablet,8,11,Promotion,172,Core Device: Galaxy Tablet
F-X400NZRAFCX4,Galaxy Tab S10 Lite Wifi 6/128GB แถม KB,Tablet,1,0,Promotion,173,Core Device: Galaxy Tablet
SM-X400NZAATHL,Galaxy Tab S10 Lite Wifi 6/128GB,Tablet,0,0,Promotion,174,Core Device: Galaxy Tablet
SM-X400NZRATHL,Galaxy Tab S10 Lite Wifi 6/128GB,Tablet,0,0,Promotion,175,Core Device: Galaxy Tablet
F-X236BZAAFBX2,Galaxy Tab A11Plus 5G 6/128GB,Tablet,0,0,Promotion,176,Core Device: Galaxy Tablet
SM-X236BZAATHL,Galaxy Tab A11Plus 5G 6/128GB,Tablet,6,6,Promotion,177,Core Device: Galaxy Tablet
F-X230NZAAFBX2,Galaxy Tab A11Plus Wi-Fi 6/128GB,Tablet,0,0,Promotion,178,Core Device: Galaxy Tablet
SM-X230NZAATHL,Galaxy Tab A11Plus Wi-Fi 6/128GB,Tablet,3,3,Promotion,179,Core Device: Galaxy Tablet
SM-X135GZAETHL,Galaxy Tab A11 LTE 8/128GB,Tablet,8,10,Promotion,180,Core Device: Galaxy Tablet
